,local_name,item,like,chat,date
66,        제주 서귀포시 대정읍,이케아 둑티그 주방놀이,4,5,2022-09-05 21:46:53
67,        제주 제주시 애월읍,온수매트 팝니다,3,5,2022-09-05 21:46:53
68,        제주 제주시 일도2동,예전에 쓰던 플룻 사용하실분 연락주세요,2,4,2022-09-05 21:46:53
69,        제주 제주시 구좌읍,키즈채움풀빌라 펜션 양도합니다,1,0,2022-09-05 21:46:53
70,        제주 서귀포시 남원읍,냉동고 팔아요 한달 썼엉ㅅ,8,3,2022-09-05 21:46:53
71,        제주 제주시 노형동,캠핑테이블,6,3,2022-09-05 21:46:53
72,        제주 제주시 연동,자전거,4,4,2022-09-05 21:46:53
73,        제주 제주시 연동,전자레인지,0,8,2022-09-05 21:46:53
74,        제주 서귀포시 안덕면,흔들의자 싸게 가져가세요,2,0,2022-09-05 21:46:53
75,        제주 제주시 도남동,테일러메이드 골프백,5,5,2022-09-05 21:46:53
76,        제주 제주시 조천읍,우두레이 자작나무 파티션,5,2,2022-09-05 21:46:53
77,        제주 서귀포시 성산읍,냉장고254리터,1,6,2022-09-05 21:46:53
78,        제주 서귀포시 서호동,겔럭시 z플립3 5G 자급제 폰,1,5,2022-09-05 21:46:53
79,        제주 제주시 노형동,포켓몬 띠부실,2,6,2022-09-05 21:46:53
80,        제주 제주시 일도2동,갤럭시핏2 스마트밴드 팝니다,4,3,2022-09-05 21:46:53
81,        제주 서귀포시 성산읍,시마노 세피아 ci4 릴 세피아 tt 에깅대 팝니다 에기전부 포함,1,6,2022-09-05 21:46:53
82,        제주 제주시 노형동,위닉스 제습기,5,6,2022-09-05 21:46:53
83,        제주 제주시 조천읍,마카롱 패밀리 시리즈 수납장,6,7,2022-09-05 21:46:53
84,        제주 제주시 아라동,신세계상품권 5만원권,2,5,2022-09-05 21:46:53
85,        제주 제주시 아라동,침대 팔아요,2,4,2022-09-05 21:46:53
86,        제주 서귀포시 중문동,다혼 접이식 자전거,7,7,2022-09-05 21:46:53
87,        제주 제주시 연동,선풍기 드립니다. 시간협의 안됩니다!,1,4,2022-09-05 21:46:53
88,        제주 서귀포시 성산읍,창고 정리중 오셔서 필요한거 가져가세요,2,6,2022-09-05 21:46:53
89,        제주 제주시 애월읍,엘지300l 냉장고,5,4,2022-09-05 21:46:53
90,        제주 서귀포시 서홍동,낚시용품 팔아요,0,4,2022-09-05 21:46:53
91,        제주 제주시 도두이동,숙박,2,8,2022-09-05 21:46:53
