,local_name,item,like,chat,date
66,        제주 제주시 연동,전자레인지,0,8,2022-09-05 04:23:20
67,        제주 제주시 용담2동,갸프팝니다,6,7,2022-09-05 04:23:20
68,        제주 서귀포시 안덕면,흔들의자 싸게 가져가세요,2,0,2022-09-05 04:23:20
69,        제주 제주시 외도일동,선반 침대선반팔아요,4,3,2022-09-05 04:23:20
70,        제주 제주시 조천읍,우두레이 자작나무 파티션,2,0,2022-09-05 04:23:20
71,        제주 제주시 노형동,플립3 자급제,2,5,2022-09-05 04:23:20
72,        제주 제주시 노형동,골프보스턴백,1,4,2022-09-05 04:23:20
73,        제주 제주시 일도2동,갤럭시핏2 스마트밴드 팝니다,4,3,2022-09-05 04:23:20
74,        제주 서귀포시 성산읍,시마노 세피아 ci4 릴 세피아 tt 에깅대 팝니다 에기전부 포함,1,6,2022-09-05 04:23:20
75,        제주 제주시 노형동,현대 상품권 팔아용 !,0,5,2022-09-05 04:23:20
76,        제주 서귀포시 동홍동,sm8  58도웨지  팝니다,5,7,2022-09-05 04:23:20
77,        제주 제주시 노형동,위닉스 제습기,5,6,2022-09-05 04:23:20
78,        제주 제주시 노형동,지에스상품권50만원 팝니다,6,5,2022-09-05 04:23:20
79,        제주 제주시 조천읍,마카롱 패밀리 시리즈 수납장,6,3,2022-09-05 04:23:20
80,        제주 제주시 아라동,신세계상품권 5만원권,2,5,2022-09-05 04:23:20
81,        제주 서귀포시 중문동,다혼 접이식 자전거,7,7,2022-09-05 04:23:20
82,        제주 서귀포시 성산읍,창고 정리중 오셔서 필요한거 가져가세요,2,6,2022-09-05 04:23:20
83,        제주 서귀포시 서홍동,낚시용품 팔아요,1,4,2022-09-05 04:23:20
84,        제주 제주시 조천읍,호텔 리젠트 제주 9월 4-5일 1박 2일 판매합니다,2,4,2022-09-05 04:23:20
85,        제주 제주시 도두이동,숙박,2,8,2022-09-05 04:23:20
86,        제주 제주시 애월읍,보쉬 18v 충전드릴,1,5,2022-09-05 04:23:20
87,        제주 제주시 일도2동,식용유 선물셋트,2,3,2022-09-05 04:23:20
88,        제주 제주시 외도동,침대 프레임 팔아요.,8,6,2022-09-05 04:23:20
89,        제주 제주시 오라이동,아이브 포카,8,7,2022-09-05 04:23:20
90,        제주 제주시 이도2동,아이폰 12 미니,4,0,2022-09-05 04:23:20
91,        제주 제주시 구좌읍,9/5-9/6 라마다시티호텔 조식포함(이도이동) 양도합니다~!,6,4,2022-09-05 04:23:20
